18.350	399.7	-200.9
18.400	399.8	-200.9
18.450	400.6	-200.8
18.500	400.7	-200.9
18.550	400.7	-200.9
18.600	401.6	-200.8
18.650	401.6	-200.8
18.700	401.7	-200.9
18.750	402.5	-200.8
18.800	402.7	-200.8
18.850	402.7	-200.8
18.900	402.7	-200.9
18.950	402.7	-200.9
